track_id	type	filename	datetime	bbox_x1	bbox_x2	bbox_y1	bbox_y2	mean_r	mean_g	mean_b	median_r	median_g	median_b	mean_h	mean_s	mean_v	median_s	median_h	median_v
120.0	0	6230	2021-07-31 13:00:21.624	0.240625	0.25390625	0.234375	0.25625	0.3669577634975559	0.3795463283352557	0.266227275223815	0.3882352941176471	0.4	0.2	0.1266985225462734	0.5603119679244247	0.4141154501016093	0.12549019607843134	0.5686274509803921	0.403921568627451
120.0	0	6322	2021-08-01 12:00:21.588	0.2421875	0.2578125	0.240625	0.265625	0.29018790849673204	0.3287581699346405	0.22964052287581696	0.2784313725490196	0.3137254901960784	0.15294117647058825	0.14644607843137256	0.5643872549019607	0.3537254901960785	0.1411764705882353	0.5725490196078431	0.3254901960784314
120.0	0	6398	2021-08-02 07:00:21.594	0.2453125	0.2609375	0.24375	0.26666666666666666	0.3681818181818182	0.3861140819964349	0.2969786096256685	0.403921568627451	0.4098039215686273	0.2431372549019608	0.13080213903743315	0.4669518716577541	0.4182620320855615	0.12941176470588234	0.4745098039215686	0.42549019607843136
120.0	0	6430	2021-08-02 15:00:21.605	0.24375	0.25625	0.253125	0.275	0.5422268907563025	0.5477357609710549	0.3799486461251167	0.6725490196078432	0.6745098039215687	0.392156862745098	0.12197712418300655	0.5448529411764705	0.6230742296918768	0.1215686274509804	0.5078431372549019	0.7274509803921568
120.0	0	6506	2021-08-03 10:00:21.615	0.24765625	0.26328125	0.25104166666666666	0.27291666666666664	0.38873949579831935	0.4161531279178338	0.3067693744164333	0.4431372549019608	0.4705882352941176	0.25098039215686274	0.13589169000933707	0.4867133520074697	0.4521475256769375	0.13333333333333333	0.4901960784313725	0.4803921568627451
120.0	0	6530	2021-08-03 16:00:21.608	0.24453125	0.2609375	0.25833333333333336	0.2833333333333333	0.3944444444444444	0.3994242141300965	0.3008636788048553	0.3764705882352941	0.3803921568627451	0.2352941176470588	0.12408963585434175	0.4975645813881108	0.4385776532835356	0.1215686274509804	0.4862745098039216	0.4117647058823529
120.0	0	6598	2021-08-04 09:00:21.601	0.24921875	0.265625	0.2614583333333333	0.2875	0.31828197945845005	0.3336844070961718	0.28044817927170873	0.3607843137254902	0.3686274509803922	0.23137254901960785	0.1328328664799253	0.4092698412698413	0.3584836601307189	0.13333333333333333	0.4196078431372549	0.3725490196078432
120.0	0	6610	2021-08-04 12:00:21.621	0.24921875	0.265625	0.2614583333333333	0.2875	0.3352380952380952	0.3746554621848739	0.281015873015873	0.3803921568627451	0.4196078431372549	0.2392156862745098	0.14751820728291318	0.4850345471521942	0.39940242763772177	0.1450980392156863	0.4823529411764706	0.4235294117647059
120.0	0	6634	2021-08-04 18:00:21.592	0.24921875	0.2640625	0.2635416666666667	0.2927083333333333	0.4539289399970515	0.4580274214949138	0.3433067964027716	0.4294117647058823	0.4352941176470588	0.3	0.12251953412944125	0.4849402919062362	0.4932109685979655	0.1215686274509804	0.4666666666666667	0.4686274509803922
120.0	0	6642	2021-08-04 20:00:21.798	0.2453125	0.26328125	0.2635416666666667	0.2947916666666667	0.2684683148621768	0.2900085251491901	0.2424495595339585	0.2647058823529412	0.2803921568627451	0.17647058823529413	0.1430747371412333	0.4162091503267974	0.3102529127593066	0.13725490196078433	0.415686274509804	0.2980392156862745
